SSC-HYGROTERM-LOGFILE als CSV-Liste
Spalten:
Datum-Zeit T:M:YYYY Std:Min:Sek, Raumtemperatur in °C, Relative Luftfeute in %, Luftdruck in hPa, Taupunkt 100%, Absulute Luftfeuchte in g/m³,Lipo Spannung in V
2.11.2018 4:31:2,20.23,54.0,988.85,10.62,9.45,3.66
2.11.2018 4:32:1,20.23,53.8,988.86,10.58,9.43,3.66
2.11.2018 4:33:0,20.22,53.7,988.86,10.54,9.40,3.66
2.11.2018 4:33:59,20.22,53.8,988.86,10.56,9.42,3.66
2.11.2018 4:34:58,20.22,53.9,988.84,10.59,9.43,3.66
2.11.2018 4:35:57,20.22,53.9,988.82,10.59,9.43,3.66
2.11.2018 4:36:56,20.22,53.8,988.80,10.57,9.42,3.65
2.11.2018 4:37:55,20.21,54.0,988.74,10.61,9.45,3.65
2.11.2018 4:38:54,20.21,54.2,988.67,10.66,9.48,3.66
2.11.2018 4:39:53,20.21,54.4,988.61,10.72,9.52,3.65
2.11.2018 4:40:52,20.21,54.5,988.62,10.74,9.53,3.66
2.11.2018 4:41:52,20.21,54.4,988.64,10.73,9.52,3.66
2.11.2018 4:42:51,20.21,54.5,988.68,10.74,9.53,3.65
2.11.2018 4:43:50,20.21,54.4,988.69,10.73,9.52,3.65
2.11.2018 4:44:49,20.22,54.2,988.62,10.68,9.49,3.65
2.11.2018 4:45:48,20.22,54.2,988.56,10.68,9.49,3.65
2.11.2018 4:46:47,20.23,54.5,988.50,10.77,9.55,3.65
2.11.2018 4:47:46,20.24,54.3,988.47,10.73,9.52,3.66
2.11.2018 4:48:45,20.25,54.3,988.47,10.74,9.53,3.66
2.11.2018 4:49:44,20.26,54.3,988.50,10.73,9.52,3.65
2.11.2018 4:50:43,20.27,54.3,988.50,10.75,9.53,3.65
2.11.2018 4:51:42,20.28,54.3,988.46,10.77,9.54,3.65
2.11.2018 4:52:41,20.29,54.3,988.41,10.77,9.55,3.65
2.11.2018 4:53:40,20.30,54.3,988.40,10.79,9.56,3.65
2.11.2018 4:54:39,20.31,54.4,988.39,10.81,9.57,3.65
2.11.2018 4:55:38,20.32,54.4,988.39,10.83,9.58,3.65
2.11.2018 4:56:37,20.33,54.4,988.39,10.84,9.59,3.66
2.11.2018 4:57:37,20.34,54.5,988.39,10.86,9.60,3.66
2.11.2018 4:58:36,20.35,54.4,988.39,10.85,9.60,3.66
2.11.2018 4:59:35,20.36,54.3,988.39,10.83,9.58,3.66
2.11.2018 5:0:34,20.37,54.3,988.36,10.85,9.59,3.66
2.11.2018 5:1:33,20.38,54.4,988.34,10.89,9.62,3.66
2.11.2018 5:2:32,20.38,54.3,988.32,10.85,9.59,3.66
2.11.2018 5:3:31,20.39,54.4,988.32,10.88,9.61,3.65
2.11.2018 5:4:30,20.40,54.3,988.31,10.87,9.61,3.65
2.11.2018 5:5:29,20.41,54.3,988.31,10.89,9.62,3.65
2.11.2018 5:6:28,20.42,54.3,988.30,10.89,9.62,3.65
2.11.2018 5:7:27,20.42,54.4,988.27,10.91,9.63,3.65
2.11.2018 5:8:26,20.43,54.3,988.26,10.90,9.63,3.66
2.11.2018 5:9:25,20.43,54.2,988.25,10.88,9.61,3.65
2.11.2018 5:10:24,20.43,54.3,988.22,10.91,9.63,3.65
2.11.2018 5:11:24,20.43,54.3,988.19,10.89,9.61,3.65
2.11.2018 5:12:23,20.44,54.3,988.18,10.91,9.63,3.65
2.11.2018 5:13:22,20.44,54.3,988.18,10.91,9.63,3.65
2.11.2018 5:14:21,20.44,54.4,988.20,10.94,9.65,3.65
2.11.2018 5:15:20,20.44,54.6,988.18,10.99,9.68,3.65
2.11.2018 5:16:19,20.44,54.7,988.18,11.02,9.70,3.65
2.11.2018 5:17:18,20.44,54.4,988.20,10.92,9.64,3.65
2.11.2018 5:18:17,20.44,54.6,988.21,11.00,9.69,3.66
2.11.2018 5:19:16,20.44,54.4,988.15,10.93,9.64,3.65
2.11.2018 5:20:15,20.44,54.6,988.12,10.98,9.67,3.65
2.11.2018 5:21:14,20.43,54.7,988.12,11.01,9.70,3.65
2.11.2018 5:22:14,20.43,54.6,988.13,10.98,9.67,3.65
2.11.2018 5:23:13,20.43,54.6,988.12,10.99,9.68,3.65
2.11.2018 5:24:12,20.43,54.4,988.10,10.93,9.64,3.66
2.11.2018 5:25:11,20.43,54.5,988.10,10.96,9.67,3.65
2.11.2018 5:26:10,20.43,54.6,988.08,10.97,9.67,3.65
2.11.2018 5:27:9,20.43,54.4,988.11,10.93,9.64,3.65
2.11.2018 5:28:8,20.43,54.4,988.11,10.92,9.64,3.65
2.11.2018 5:29:7,20.43,54.4,988.11,10.92,9.64,3.65
2.11.2018 5:30:6,20.43,54.4,988.14,10.92,9.64,3.65
2.11.2018 5:31:5,20.42,54.7,988.13,10.99,9.68,3.65
2.11.2018 5:32:4,20.42,55.0,988.13,11.09,9.75,3.65
2.11.2018 5:33:3,20.41,54.9,988.13,11.03,9.71,3.65
2.11.2018 5:34:3,20.40,54.8,988.13,11.01,9.70,3.66
2.11.2018 5:35:2,20.40,55.1,988.13,11.08,9.74,3.66
2.11.2018 5:36:1,20.39,55.0,988.13,11.05,9.72,3.65
2.11.2018 5:37:0,20.39,54.8,988.14,11.01,9.70,3.66
2.11.2018 5:37:59,20.38,54.6,988.12,10.93,9.64,3.65
2.11.2018 5:38:58,20.38,54.6,988.11,10.94,9.65,3.65
2.11.2018 5:39:57,20.39,54.9,988.12,11.02,9.70,3.65
2.11.2018 5:40:56,20.38,54.5,988.12,10.90,9.62,3.65
2.11.2018 5:41:55,20.38,54.7,988.12,10.97,9.67,3.65
2.11.2018 5:42:54,20.38,54.6,988.10,10.94,9.65,3.65
2.11.2018 5:43:53,20.37,54.5,988.10,10.89,9.62,3.66
2.11.2018 5:44:52,20.37,54.6,988.06,10.92,9.64,3.65
2.11.2018 5:45:52,20.37,54.7,988.07,10.95,9.66,3.65
2.11.2018 5:46:51,20.36,54.6,988.06,10.91,9.64,3.65
2.11.2018 5:47:50,20.36,54.6,988.07,10.91,9.63,3.65
2.11.2018 5:48:49,20.36,54.5,988.07,10.88,9.61,3.65
2.11.2018 5:49:48,20.35,54.5,988.07,10.88,9.61,3.65
2.11.2018 5:50:47,20.35,54.5,988.08,10.87,9.61,3.65
2.11.2018 5:51:46,20.35,54.6,988.02,10.91,9.64,3.66
2.11.2018 5:52:45,20.35,54.8,987.98,10.97,9.67,3.65
2.11.2018 5:53:44,20.34,54.8,987.97,10.94,9.65,3.65
2.11.2018 5:54:43,20.34,54.7,987.99,10.94,9.65,3.65
2.11.2018 5:55:42,20.33,54.7,987.95,10.92,9.64,3.65
2.11.2018 5:56:41,20.34,54.7,987.93,10.93,9.65,3.65
2.11.2018 5:57:40,20.33,54.6,987.91,10.90,9.63,3.65
2.11.2018 5:58:39,20.33,54.8,987.89,10.93,9.65,3.65
2.11.2018 5:59:39,20.32,54.7,987.87,10.92,9.64,3.65
2.11.2018 6:0:38,20.32,54.8,987.85,10.93,9.65,3.65
2.11.2018 6:1:37,20.32,55.0,987.84,10.98,9.68,3.65
2.11.2018 6:2:36,20.31,55.0,987.82,10.98,9.68,3.65
2.11.2018 6:3:35,20.31,54.9,987.80,10.96,9.67,3.65
2.11.2018 6:4:34,20.31,55.0,987.78,10.99,9.68,3.65
2.11.2018 6:5:33,20.30,55.1,987.75,11.00,9.69,3.65
2.11.2018 6:6:32,20.30,55.1,987.71,11.00,9.69,3.65
2.11.2018 6:7:31,20.30,55.1,987.70,10.99,9.68,3.65
2.11.2018 6:8:30,20.30,55.0,987.69,10.98,9.68,3.65
2.11.2018 6:9:29,20.29,55.0,987.67,10.97,9.67,3.65
2.11.2018 6:10:28,20.30,55.1,987.65,11.00,9.69,3.65
2.11.2018 6:11:27,20.29,55.0,987.62,10.97,9.67,3.65
2.11.2018 6:12:26,20.30,55.0,987.58,10.96,9.67,3.65
2.11.2018 6:13:26,20.30,55.0,987.56,10.96,9.67,3.65
2.11.2018 6:14:25,20.30,55.0,987.54,10.97,9.67,3.65
2.11.2018 6:15:24,20.30,55.1,987.54,11.00,9.69,3.65
2.11.2018 6:16:23,20.31,55.3,987.50,11.07,9.74,3.65
2.11.2018 6:17:22,20.31,55.3,987.49,11.05,9.72,3.65
2.11.2018 6:18:21,20.32,55.2,987.46,11.03,9.71,3.65
2.11.2018 6:19:20,20.32,55.4,987.43,11.10,9.76,3.65
2.11.2018 6:20:19,20.33,55.0,987.41,11.00,9.69,3.65
2.11.2018 6:21:18,20.33,55.4,987.39,11.11,9.76,3.65
2.11.2018 6:22:17,20.33,55.3,987.40,11.09,9.75,3.65
2.11.2018 6:23:16,20.34,55.1,987.37,11.05,9.72,3.65
2.11.2018 6:24:15,20.34,55.1,987.36,11.04,9.72,3.65
2.11.2018 6:25:15,20.34,55.3,987.34,11.10,9.76,3.65
2.11.2018 6:26:14,20.34,55.4,987.33,11.10,9.76,3.65
2.11.2018 6:27:13,20.34,55.4,987.33,11.12,9.77,3.65
2.11.2018 6:28:12,20.34,55.6,987.33,11.16,9.79,3.65
2.11.2018 6:29:11,20.34,55.5,987.29,11.15,9.79,3.65
2.11.2018 6:30:10,20.35,55.7,987.29,11.21,9.82,3.65
2.11.2018 6:31:9,20.35,55.5,987.27,11.16,9.80,3.65
2.11.2018 6:32:8,20.35,55.2,987.23,11.08,9.74,3.65
2.11.2018 6:33:7,20.36,55.5,987.21,11.17,9.80,3.65
2.11.2018 6:34:6,20.37,55.3,987.22,11.13,9.77,3.65
2.11.2018 6:35:5,20.37,55.1,987.18,11.07,9.74,3.65
2.11.2018 6:36:4,20.38,55.1,987.16,11.06,9.73,3.65
2.11.2018 6:37:3,20.39,55.3,987.15,11.13,9.77,3.65
2.11.2018 6:38:3,20.40,55.2,987.13,11.11,9.76,3.65
2.11.2018 6:39:2,20.40,55.0,987.12,11.06,9.73,3.65
2.11.2018 6:40:1,20.41,55.3,987.13,11.15,9.79,3.65
2.11.2018 6:41:0,20.43,55.2,987.11,11.15,9.79,3.65
2.11.2018 6:41:59,20.43,55.0,987.10,11.10,9.76,3.65
2.11.2018 6:42:58,20.44,55.1,987.08,11.13,9.77,3.65
2.11.2018 6:43:57,20.45,55.1,987.06,11.15,9.78,3.65
2.11.2018 6:44:56,20.45,55.1,987.05,11.13,9.77,3.65
2.11.2018 6:45:55,20.46,55.2,987.06,11.17,9.80,3.65
2.11.2018 6:46:54,20.46,55.2,987.05,11.18,9.81,3.65
2.11.2018 6:47:53,20.46,55.4,987.07,11.24,9.84,3.65
2.11.2018 6:48:52,20.46,55.2,987.07,11.16,9.79,3.65
2.11.2018 6:49:52,20.47,55.2,987.08,11.20,9.81,3.65
2.11.2018 6:50:51,20.47,55.4,987.07,11.23,9.83,3.65
2.11.2018 6:51:50,20.46,55.1,987.06,11.14,9.78,3.65
2.11.2018 6:52:49,20.46,55.2,987.05,11.17,9.80,3.65
2.11.2018 6:53:48,20.46,55.0,987.01,11.13,9.77,3.65
2.11.2018 6:54:47,20.46,55.0,987.00,11.12,9.76,3.65
2.11.2018 6:55:46,20.46,55.1,986.98,11.15,9.79,3.65
2.11.2018 6:56:45,20.45,55.2,986.98,11.16,9.79,3.65
2.11.2018 6:57:44,20.45,55.8,986.98,11.32,9.89,3.65
2.11.2018 6:58:43,20.45,55.2,986.99,11.17,9.80,3.65
2.11.2018 6:59:42,20.45,55.3,986.97,11.20,9.82,3.65
2.11.2018 7:0:41,20.44,55.5,986.96,11.24,9.85,3.65
2.11.2018 7:1:41,20.44,55.5,986.93,11.25,9.85,3.65
2.11.2018 7:2:40,20.44,55.6,986.93,11.25,9.85,3.65
2.11.2018 7:3:39,20.44,55.4,986.93,11.21,9.83,3.65
2.11.2018 7:4:38,20.44,55.3,986.92,11.19,9.81,3.65
2.11.2018 7:5:37,20.43,55.6,986.91,11.25,9.85,3.65
